symptoms,disease,home_medication,doctor_prescription
nausea headache fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough chest pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever body pain cold,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
vomiting runny nose body pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea cough,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fever chest pain cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold headache fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
chest pain vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cold chest pain fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat cold nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
diarrhea fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
vomiting runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain sore throat,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea fatigue headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fever cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
body pain nausea sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea diarrhea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea fever vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain headache fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cold runny nose vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea body pain sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
sore throat diarrhea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
diarrhea body pain fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat headache,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting diarrhea chest pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat cold runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fatigue cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
body pain fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain chest pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
runny nose cough diarrhea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
vomiting,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fatigue chest pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cold body pain sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
chest pain fever fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea cold headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fever nausea chest pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
vomiting nausea cough,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
body pain cough vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting sore throat fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea fatigue fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain body pain fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fever runny nose sore throat,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain vomiting body pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever cold headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain cold fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
vomiting cold body pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
vomiting headache,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
runny nose headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
body pain cough,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
chest pain sore throat nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever body pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain sore throat chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
sore throat headache runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea body pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue vomiting chest pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache vomiting fever,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache fever cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain sore throat fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting chest pain cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat runny nose chest pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough headache diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea runny nose fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea chest pain diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose vomiting diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
sore throat cough,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
